L-R
f	тву	юву
964	0.011	0.163
965	0.01	0.163
966	0.01	0.163
967	0.01	0.162
968	0.01	0.162
969	0.01	0.162
970	0.01	0.162
971	0.01	0.162
972	0.01	0.162
973	0.01	0.161
974	0.01	0.161
975	0.01	0.161
976	0.01	0.161
977	0.01	0.161
978	0.01	0.161
979	0.01	0.16
980	0.01	0.16
981	0.01	0.16
982	0.01	0.16
983	0.01	0.16
984	0.01	0.16
985	0.01	0.16
986	0.01	0.159
987	0.01	0.159
988	0.01	0.159
989	0.01	0.159
990	0.01	0.159
991	0.01	0.159
992	0.01	0.158
993	0.01	0.158
994	0.01	0.158
995	0.01	0.158
996	0.01	0.158
997	0.01	0.158
998	0.01	0.157
999	0.01	0.157
