R-L
f	тву	юву
910	0.11	0.985
911	0.11	0.985
912	0.11	0.985
913	0.11	0.985
914	0.11	0.985
915	0.11	0.985
916	0.11	0.985
917	0.109	0.985
918	0.109	0.985
919	0.109	0.985
920	0.109	0.985
921	0.109	0.985
922	0.109	0.985
923	0.109	0.985
924	0.109	0.985
925	0.108	0.986
926	0.108	0.986
927	0.108	0.986
928	0.108	0.986
929	0.108	0.986
930	0.108	0.986
931	0.108	0.986
932	0.108	0.986
933	0.108	0.986
934	0.107	0.986
935	0.107	0.986
936	0.107	0.986
937	0.107	0.986
938	0.107	0.986
939	0.107	0.986
940	0.107	0.986
941	0.107	0.986
942	0.107	0.986
943	0.106	0.986
944	0.106	0.986
945	0.106	0.986
946	0.106	0.986
947	0.106	0.986
948	0.106	0.986
949	0.106	0.986
950	0.106	0.986
951	0.106	0.986
952	0.105	0.986
953	0.105	0.986
954	0.105	0.986
955	0.105	0.986
956	0.105	0.986
957	0.105	0.986
958	0.105	0.986
959	0.105	0.987
960	0.105	0.987
961	0.104	0.987
962	0.104	0.987
963	0.104	0.987
964	0.104	0.987
965	0.104	0.987
966	0.104	0.987
967	0.104	0.987
968	0.104	0.987
969	0.104	0.987
970	0.104	0.987
971	0.103	0.987
972	0.103	0.987
973	0.103	0.987
974	0.103	0.987
975	0.103	0.987
976	0.103	0.987
977	0.103	0.987
978	0.103	0.987
979	0.103	0.987
980	0.102	0.987
981	0.102	0.987
982	0.102	0.987
983	0.102	0.987
984	0.102	0.987
985	0.102	0.987
986	0.102	0.987
987	0.102	0.987
988	0.102	0.987
989	0.102	0.987
990	0.101	0.987
991	0.101	0.987
992	0.101	0.987
993	0.101	0.987
994	0.101	0.987
995	0.101	0.987
996	0.101	0.987
997	0.101	0.987
998	0.101	0.988
999	0.101	0.988
